Time (ns)	Photoconductivity (cm2/Vs)	Time (ns)	Photoconductivity (cm2/Vs)	Time (ns)	Photoconductivity (cm2/Vs)	Time (ns)	Photoconductivity (cm2/Vs)	Time (ns)	Photoconductivity (cm2/Vs)
0.000000000000000000e+00	8.700000000000000000e+01	8.700000000000000000e+01	8.700000000000000000e+01	8.700000000000000000e+01	8.700000000000000000e+01
1.000000000000000048e-04	8.699998081309597353e+01	8.699998074042159146e+01	8.699998053296913270e+01	8.699997978310122448e+01	8.699997795302714110e+01
1.002005019233942956e-04	8.699998077462588242e+01	8.699998070180582488e+01	8.699998049393749966e+01	8.699997974256632460e+01	8.699997790882355275e+01
1.004014058570013436e-04	8.699998073607864058e+01	8.699998066311260914e+01	8.699998045482759323e+01	8.699997970195016705e+01	8.699997786453134552e+01
1.006027126068595310e-04	8.699998069745413432e+01	8.699998062434183055e+01	8.699998041563927131e+01	8.699997966125258131e+01	8.699997782015033465e+01
1.008044229806231214e-04	8.699998065875219311e+01	8.699998058549330437e+01	8.699998037637237758e+01	8.699997962047338262e+01	8.699997777568033541e+01
1.010065377875657969e-04	8.699998061997264642e+01	8.699998054656691693e+01	8.699998033702675571e+01	8.699997957961242889e+01	8.699997773112119148e+01
1.012090578385837483e-04	8.699998058111535215e+01	8.699998050756246926e+01	8.699998029760222096e+01	8.699997953866956379e+01	8.699997768647271812e+01
1.014119839461993610e-04	8.699998054218012555e+01	8.699998046847979083e+01	8.699998025809867386e+01	8.699997949764457417e+01	8.699997764173468795e+01
1.016153169245638039e-04	8.699998050316686715e+01	8.699998042931875375e+01	8.699998021851590124e+01	8.699997945653734632e+01	8.699997759690700150e+01
1.018190575894607563e-04	8.699998046407533536e+01	8.699998039007923012e+01	8.699998017885377521e+01	8.699997941534770973e+01	8.699997755198940297e+01
1.020232067583094705e-04	8.699998042490547334e+01	8.699998035076100678e+01	8.699998013911212524e+01	8.699997937407549387e+01	8.699997750698177867e+01
1.022277652501684178e-04	8.699998038565705372e+01	8.699998031136395582e+01	8.699998009929078080e+01	8.699997933272051398e+01	8.699997746188391545e+01
1.024327338857380123e-04	8.699998034632994859e+01	8.699998027188792094e+01	8.699998005938959977e+01	8.699997929128259955e+01	8.699997741669561435e+01
1.026381134873642837e-04	8.699998030692397322e+01	8.699998023233273159e+01	8.699998001940842585e+01	8.699997924976163688e+01	8.699997737141673326e+01
1.028439048790419537e-04	8.699998026743899970e+01	8.699998019269821725e+01	8.699997997934707428e+01	8.699997920815741281e+01	8.699997732604705902e+01
1.030501088864182308e-04	8.699998022787488594e+01	8.699998015298425003e+01	8.699997993920543138e+01	8.699997916646977103e+01	8.699997728058643531e+01
1.032567263367954258e-04	8.699998018823140455e+01	8.699998011319065938e+01	8.699997989898326978e+01	8.699997912469856942e+01	8.699997723503466318e+01
1.034637580591346790e-04	8.699998014850845607e+01	8.699998007331726058e+01	8.699997985868047579e+01	8.699997908284358061e+01	8.699997718939155789e+01
1.036712048840591582e-04	8.699998010870585574e+01	8.699998003336395413e+01	8.699997981829686466e+01	8.699997904090470513e+01	8.699997714365693469e+01
1.038790676438577454e-04	8.699998006882347568e+01	8.699997999333051268e+01	8.699997977783230851e+01	8.699997899888172981e+01	8.699997709783063726e+01
1.040873471724877334e-04	8.699998002886111692e+01	8.699997995321679412e+01	8.699997973728659417e+01	8.699997895677449833e+01	8.699997705191243824e+01
1.042960443055786750e-04	8.699997998881859473e+01	8.699997991302268474e+01	8.699997969665957953e+01	8.699997891458284016e+01	8.699997700590218130e+01
1.045051598804354185e-04	8.699997994869582385e+01	8.699997987274795719e+01	8.699997965595115090e+01	8.699997887230658478e+01	8.699997695979969592e+01
1.047146947360419705e-04	8.699997990849260532e+01	8.699997983239246935e+01	8.699997961516106670e+01	8.699997882994557585e+01	8.699997691360475471e+01
1.049246497130642061e-04	8.699997986820876861e+01	8.699997979195609332e+01	8.699997957428921325e+01	8.699997878749962865e+01	8.699997686731720137e+01
1.051350256538536232e-04	8.699997982784417161e+01	8.699997975143863016e+01	8.699997953333539158e+01	8.699997874496857264e+01	8.699997682093686535e+01
1.053458234024505811e-04	8.699997978739864379e+01	8.699997971083993775e+01	8.699997949229948802e+01	8.699997870235225150e+01	8.699997677446351929e+01
1.055570438045880553e-04	8.699997974687201463e+01	8.699997967015981715e+01	8.699997945118127518e+01	8.699997865965048049e+01	8.699997672789700687e+01
1.057686877076944150e-04	8.699997970626411359e+01	8.699997962939818308e+01	8.699997940998063939e+01	8.699997861686308909e+01	8.699997668123711492e+01
1.059807559608971371e-04	8.699997966557481277e+01	8.699997958855476554e+01	8.699997936869739590e+01	8.699997857398993517e+01	8.699997663448370133e+01
1.061932494150265462e-04	8.699997962480394165e+01	8.699997954762949348e+01	8.699997932733137418e+01	8.699997853103079137e+01	8.699997658763653874e+01
1.064061689226185797e-04	8.699997958395128705e+01	8.699997950662213952e+01	8.699997928588238949e+01	8.699997848798551559e+01	8.699997654069545661e+01
1.066195153379186094e-04	8.699997954301674952e+01	8.699997946553258998e+01	8.699997924435032814e+01	8.699997844485396570e+01	8.699997649366024177e+01
1.068332895168847078e-04	8.699997950200014429e+01	8.699997942436064591e+01	8.699997920273499119e+01	8.699997840163591434e+01	8.699997644653075213e+01
1.070474923171914561e-04	8.699997946090128664e+01	8.699997938310613677e+01	8.699997916103623652e+01	8.699997835833120519e+01	8.699997639930676030e+01
1.072621245982327906e-04	8.699997941972003446e+01	8.699997934176893466e+01	8.699997911925385097e+01	8.699997831493966771e+01	8.699997635198806734e+01
