0,1.0115100000,0.0000000000,1.0034000000,0.0000000000,0.9933170000,0.0000000000,1.0182400000,0.0000000000,1.0074900000
20.0000000000,0.8765060000,20.0000000000,0.8776880000,20.0000000000,0.9110750000,20.0000000000,0.9745780000,20.0000000000,0.9309250000
40.0000000000,0.7909450000,40.0000000000,0.8130730000,40.0000000000,0.8861110000,40.0000000000,0.9109710000,40.0000000000,0.8867880000
60.0000000000,0.6913090000,60.0000000000,0.7554070000,60.0000000000,0.8727170000,60.0000000000,0.9121570000,60.0000000000,0.8585250000
80.0000000000,0.6358750000,80.0000000000,0.7111290000,80.0000000000,0.8649350000,80.0000000000,0.8978800000,80.0000000000,0.8144140000
100.0000000000,0.5854780000,100.0000000000,0.6958170000,100.0000000000,0.8521880000,100.0000000000,0.8817910000,100.0000000000,0.7597720000
120.0000000000,0.5276440000,120.0000000000,0.6783900000,120.0000000000,0.8278720000,120.0000000000,0.8529000000,120.0000000000,0.7394170000
140.0000000000,0.4733430000,140.0000000000,0.6579010000,140.0000000000,0.8427620000,140.0000000000,0.8451040000,140.0000000000,0.6964480000
160.0000000000,0.4463420000,160.0000000000,0.6710600000,160.0000000000,0.8500320000,160.0000000000,0.8345640000,160.0000000000,0.6676070000
180.0000000000,0.4238310000,180.0000000000,0.6331270000,180.0000000000,0.8531170000,180.0000000000,0.8314110000,180.0000000000,0.6645950000
200.0000000000,0.3858480000,200.0000000000,0.6388460000,200.0000000000,0.7956950000,200.0000000000,0.7799660000,200.0000000000,0.6192830000
220.0000000000,0.3536860000,220.0000000000,0.6436640000,220.0000000000,0.8172310000,220.0000000000,0.7791310000,220.0000000000,0.5770590000
240.0000000000,0.3504950000,240.0000000000,0.6224710000,240.0000000000,0.8114090000,240.0000000000,0.7936200000,240.0000000000,0.5658510000
260.0000000000,0.3238170000,260.0000000000,0.6019720000,260.0000000000,0.7989130000,260.0000000000,0.7547160000,260.0000000000,0.5470120000
280.0000000000,0.2858380000,280.0000000000,0.6121300000,280.0000000000,0.8034690000,280.0000000000,0.7418820000,280.0000000000,0.5245650000
300.0000000000,0.2885980000,300.0000000000,0.5913320000,300.0000000000,0.7918670000,300.0000000000,0.7248010000,300.0000000000,0.5122050000
320.0000000000,0.2673350000,320.0000000000,0.5962910000,320.0000000000,0.8051130000,320.0000000000,0.7127660000,320.0000000000,0.5074160000
340.0000000000,0.2675020000,340.0000000000,0.5954210000,340.0000000000,0.7784820000,340.0000000000,0.6956350000,340.0000000000,0.4715820000
360.0000000000,0.2499280000,360.0000000000,0.5886890000,360.0000000000,0.7746120000,360.0000000000,0.7025630000,360.0000000000,0.4348520000
380.0000000000,0.2338220000,380.0000000000,0.5944760000,380.0000000000,0.7632770000,380.0000000000,0.6888390000,380.0000000000,0.4377360000
400.0000000000,0.2118140000,400.0000000000,0.5933340000,400.0000000000,0.7664280000,400.0000000000,0.6670520000,400.0000000000,0.4248590000
420.0000000000,0.2255950000,420.0000000000,0.5824300000,420.0000000000,0.7589330000,420.0000000000,0.6536090000,420.0000000000,0.4223470000
440.0000000000,0.2006080000,440.0000000000,0.5821750000,440.0000000000,0.7530980000,440.0000000000,0.6438570000,440.0000000000,0.3968660000
460.0000000000,0.2212760000,460.0000000000,0.5765080000,460.0000000000,0.7465980000,460.0000000000,0.6425210000,460.0000000000,0.3993940000
480.0000000000,0.1817730000,480.0000000000,0.5565900000,480.0000000000,0.7601750000,480.0000000000,0.6254670000,480.0000000000,0.3657980000
500.0000000000,0.1801260000,500.0000000000,0.5666050000,500.0000000000,0.7292530000,500.0000000000,0.6295640000,500.0000000000,0.3688800000
520.0000000000,0.1682860000,520.0000000000,0.5694850000,520.0000000000,0.7219910000,520.0000000000,0.6086400000,520.0000000000,0.3554710000
540.0000000000,0.1762500000,540.0000000000,0.5632090000,540.0000000000,0.7325750000,540.0000000000,0.5730780000,540.0000000000,0.3378760000
560.0000000000,0.1571180000,560.0000000000,0.5714560000,560.0000000000,0.7223710000,560.0000000000,0.5796570000,560.0000000000,0.3252270000
580.0000000000,0.1593080000,580.0000000000,0.5678610000,580.0000000000,0.7029150000,580.0000000000,0.5769350000,580.0000000000,0.2973980000
600.0000000000,0.1419270000,600.0000000000,0.5527640000,600.0000000000,0.7049680000,600.0000000000,0.5779630000,600.0000000000,0.3071530000
620.0000000000,0.1339460000,620.0000000000,0.5341060000,620.0000000000,0.7235960000,620.0000000000,0.5524710000,620.0000000000,0.3062210000
640.0000000000,0.1338160000,640.0000000000,0.5509360000,640.0000000000,0.7053000000,640.0000000000,0.5645380000,640.0000000000,0.3089220000
660.0000000000,0.1216140000,660.0000000000,0.5382320000,660.0000000000,0.7063260000,660.0000000000,0.5314870000,660.0000000000,0.2689250000
680.0000000000,0.1102000000,680.0000000000,0.5334120000,680.0000000000,0.6985190000,680.0000000000,0.5353790000,680.0000000000,0.2858580000
700.0000000000,0.1265160000,700.0000000000,0.5315030000,700.0000000000,0.6813510000,700.0000000000,0.5234520000,700.0000000000,0.2726400000
720.0000000000,0.1108140000,720.0000000000,0.5585240000,720.0000000000,0.6877460000,720.0000000000,0.4925340000,720.0000000000,0.2496590000
740.0000000000,0.1309670000,740.0000000000,0.5383190000,740.0000000000,0.6807960000,740.0000000000,0.5229490000,740.0000000000,0.2667150000
760.0000000000,0.0932458000,760.0000000000,0.5185180000,760.0000000000,0.6657610000,760.0000000000,0.5163650000,760.0000000000,0.2570700000
780.0000000000,0.1004160000,780.0000000000,0.5467830000,780.0000000000,0.6638830000,780.0000000000,0.4879760000,780.0000000000,0.2426520000
